Code	The optimal value	Duality gap (%)	The optimal solution
1	230	12.20	9, 25, 38, 40, 68, 74, 75, 78, 86, 95, 100, 119
2	220	11.59	16, 39, 55, 68, 70, 98, 104, 105, 108, 116, 125, 130
3	233	11.33	13, 15, 43, 49, 50, 53, 61, 70, 75, 94, 117, 133
4	221	14.62	2, 3, 6, 14, 23, 28, 47, 70, 86, 99, 101, 129
5	226	10.68	3, 26, 42, 55, 57, 85, 91, 92, 95, 103, 112, 117
6	236	11.42	6, 15, 20, 39, 62, 78, 91, 93, 121, 127, 128, 131
7	211	07.02	4, 9, 28, 51, 67, 80, 82, 110, 116, 117, 120, 128
8	220	10.47	14, 27, 29, 57, 63, 64, 67, 75, 84, 89, 108, 131
9	225	10.00	4, 5, 8, 16, 25, 30, 49, 72, 88, 101, 103, 131
10	228	5.40	2, 15, 17, 45, 51, 52, 55, 63, 72, 77, 96, 119
11	219	12.86	2, 10, 19, 24, 43, 66, 82, 95, 97, 125, 131, 132
12	239	10.66	17, 33, 46, 48, 76, 82, 83, 86, 94, 103, 108, 127
13	226	11.90	12, 25, 27, 55, 61, 62, 65, 73, 82, 87, 106, 129
14	224	6.24	9, 25, 38, 40, 68, 74, 75, 78, 86, 95, 100, 119
15	236	12.23	4, 10, 11, 14, 22, 31, 36, 55, 78, 94, 107, 109
16	219	7.69	2, 30, 36, 37, 40, 48, 57, 62, 81, 104, 120, 133
17	234	7.76	1, 7, 8, 11, 19, 28, 33, 52, 75, 91, 104, 106
18	224	11.02	20, 36, 49, 51, 79, 85, 86, 89, 97, 106, 111, 130
19	234	5.16	2, 4, 32, 38, 39, 42, 50, 59, 64, 83, 106, 122
20	228	9.12	5, 24, 47, 63, 76, 78, 106, 112, 113, 116, 124, 133
21	221	9.48	9, 25, 38, 40, 68, 74, 75, 78, 86, 95, 100, 119
22	223	14.47	10, 26, 39, 41, 69, 75, 76, 79, 87, 96, 101, 120
23	223	6.79	6, 19, 21, 49, 55, 56, 59, 67, 76, 81, 100, 123
24	216	13.04	20, 26, 27, 30, 38, 47, 52, 71, 94, 110, 123, 125
25	216	10.48	17, 33, 46, 48, 76, 82, 83, 86, 94, 103, 108, 127
26	232	9.30	11, 17, 18, 21, 29, 38, 43, 62, 85, 101, 114, 116
27	222	6.76	15, 31, 44, 46, 74, 80, 81, 84, 92, 101, 106, 125
28	227	10.42	13, 36, 52, 65, 67, 95, 101, 102, 105, 113, 122, 127
29	213	6.59	10, 33, 49, 62, 64, 92, 98, 99, 102, 110, 119, 124
30	231	8.50	16, 22, 23, 26, 34, 43, 48, 67, 90, 106, 119, 121
