Code	The optimal value    Duality Gap (%)    The optimal solution
332	154	 34.30	10, 14, 17, 33, 34, 40, 44, 50, 59, 63, 64, 78
432	155	 46.02	12, 21, 35, 44, 47, 57, 58, 61, 65, 75, 80, 91
532	150	 35.53	2, 4, 31, 32, 40, 42, 52, 56, 73, 77, 80, 89
632	162	 39.40	10, 13, 38, 52, 63, 64, 67, 75, 82, 85, 87, 93
732	157	 33.14	3, 5, 11, 17, 25, 31, 37, 51, 53, 59, 95
832	136	 32.02	13, 19, 21, 22, 32, 34, 40, 56, 60, 62, 87, 98
932	133	 36.73	16, 30, 37, 41, 46, 55, 56, 58, 63, 67, 72, 87
1032	127	 28.82	12, 20, 21, 23, 33, 36, 38, 41, 48, 64, 67, 75
1132	163	 44.14	10, 16, 23, 58, 68, 69, 74, 75, 82, 88, 94, 100
1232	123	 25.85	3, 10, 18, 21, 22, 31, 35, 57, 69, 71, 87, 92, 99
1332	164	 40.01	4, 9, 17, 28, 59, 66, 71, 76, 79, 82, 91, 97
1432	150	 30.98	5, 11, 22, 25, 41, 55, 61, 62, 65, 75, 84, 89
1532	158	 40.34	7, 10, 22, 23, 31, 32, 40, 45, 52, 54, 55, 59
1632	141	 36.36	9, 10, 21, 35, 37, 39, 41, 45, 48, 67, 80, 86
1732	157	 42.21	4, 13, 33, 38, 41, 65, 73, 75, 85, 90, 91, 96
1832	135	 38.86	7, 11, 13, 27, 28, 30, 34, 46, 47, 48, 77, 78
1932	146	 34.64	9, 32, 39, 40, 45, 56, 61, 62, 70, 72, 90, 98
2032	150	 38.46	22, 26, 28, 41, 49, 61, 64, 67, 80, 84, 93, 97
2132	140	 34.38	2, 13, 23, 36, 43, 48, 50, 64, 76, 77, 85, 91
2232	145	 29.26	4, 5, 10, 31, 34, 42, 47, 70, 81, 92, 94, 100
2332	172	 49.40	12, 13, 32, 36, 38, 44, 51, 57, 67, 71, 87, 88
2432	137	 28.94	3, 7, 11, 14, 21, 23, 28, 31, 68, 74, 87, 90
2532	153	 44.32	11, 25, 28, 33, 43, 47, 52, 64, 79, 95, 98, 99
2632	164	 47.28	5, 9, 16, 25, 26, 28, 44, 66, 79, 91, 95, 99
2732	123	 30.45	2, 6, 11, 12, 13, 21, 41, 48, 49, 63, 64, 90, 91
2832	145	 30.20	9, 11, 21, 26, 33, 34, 65, 67, 76, 83, 84, 90
2932	155	 41.18	2, 16, 19, 52, 55, 62, 71, 76, 77, 81, 84, 91
3032	113	 32.46	9, 27, 35, 39, 43, 53, 66, 67, 72, 73, 89, 93
3132	130	 30.12	1, 24, 26, 30, 31, 54, 60, 62, 63, 83, 85, 96, 99
3232	157	 43.96	5, 17, 30, 33, 38, 41, 50, 55, 64, 71, 89, 95
