Chessboard matrixes  Code  3134
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           0
     1        2           0
     1       12           1
     1       13           2
     1       14           3
     1       24           0
     1      133           4
     1      134           3
     1      144           4
     2        1           1
     2        2           3
     2        3           4
     2       13           0
     2       14           4
     2       15           3
     2      133           1
     2      134           0
     2      135           3
     3        2           1
     3        3           4
     3        4           0
     3       14           4
     3       15           0
     3       16           4
     3      134           4
     3      135           1
     3      136           4
     4        3           1
     4        4           3
     4        5           1
     4       15           1
     4       16           1
     4       17           0
     4      135           0
     4      136           4
     4      137           2
     5        4           1
     5        5           0
     5        6           1
     5       16           4
     5       17           1
     5       18           1
     5      136           1
     5      137           0
     5      138           2
     6        5           2
     6        6           0
     6        7           4
     6       17           0
     6       18           1
     6       19           0
     6      137           4
     6      138           0
     6      139           3
     7        6           3
     7        7           2
     7        8           1
     7       18           0
     7       19           1
     7       20           1
     7      138           1
     7      139           4
     7      140           2
     8        7           3
     8        8           2
     8        9           0
     8       19           0
     8       20           0
     8       21           0
     8      139           4
     8      140           0
     8      141           1
     9        8           3
     9        9           2
     9       10           2
     9       20           3
     9       21           4
     9       22           4
     9      140           4
     9      141           0
     9      142           2
    10        9           4
    10       10           0
    10       11           4
    10       21           0
    10       22           0
    10       23           0
    10      141           0
    10      142           1
    10      143           0
    11       10           4
    11       11           0
    11       12           2
    11       22           1
    11       23           2
    11       24           0
    11      142           4
    11      143           0
    11      144           4
    12        1           2
    12       11           3
    12       12           4
    12       13           1
    12       23           0
    12       24           4
    12      133           4
    12      143           1
    12      144           2
    13        1           4
    13        2           0
    13       12           0
    13       13           2
    13       14           2
    13       24           4
    13       25           0
    13       26           2
    13       36           3
    14        1           0
    14        2           4
    14        3           3
    14       13           1
    14       14           3
    14       15           3
    14       25           2
    14       26           4
    14       27           2
    15        2           3
    15        3           1
    15        4           3
    15       14           2
    15       15           3
    15       16           0
    15       26           0
    15       27           3
    15       28           0
    16        3           4
    16        4           4
    16        5           0
    16       15           1
    16       16           2
    16       17           2
    16       27           3
    16       28           2
    16       29           2
    17        4           0
    17        5           0
    17        6           2
    17       16           3
    17       17           2
    17       18           4
    17       28           2
    17       29           4
    17       30           4
    18        5           4
    18        6           3
    18        7           0
    18       17           3
    18       18           1
    18       19           1
    18       29           3
    18       30           0
    18       31           2
    19        6           1
    19        7           1
    19        8           1
    19       18           2
    19       19           3
    19       20           3
    19       30           4
    19       31           1
    19       32           1
    20        7           4
    20        8           4
    20        9           4
    20       19           0
    20       20           2
    20       21           0
    20       31           2
    20       32           0
    20       33           2
    21        8           3
    21        9           4
    21       10           2
    21       20           3
    21       21           1
    21       22           1
    21       32           0
    21       33           1
    21       34           3
    22        9           2
    22       10           0
    22       11           2
    22       21           3
    22       22           2
    22       23           3
    22       33           4
    22       34           3
    22       35           1
    23       10           2
    23       11           4
    23       12           4
    23       22           3
    23       23           1
    23       24           3
    23       34           4
    23       35           2
    23       36           4
    24        1           3
    24       11           0
    24       12           0
    24       13           3
    24       23           1
    24       24           0
    24       25           4
    24       35           1
    24       36           3
    25       13           0
    25       14           3
    25       24           0
    25       25           2
    25       26           3
    25       36           1
    25       37           0
    25       38           1
    25       48           3
    26       13           0
    26       14           3
    26       15           1
    26       25           4
    26       26           0
    26       27           4
    26       37           3
    26       38           1
    26       39           0
    27       14           3
    27       15           2
    27       16           3
    27       26           3
    27       27           4
    27       28           1
    27       38           1
    27       39           3
    27       40           3
    28       15           1
    28       16           2
    28       17           3
    28       27           0
    28       28           0
    28       29           3
    28       39           2
    28       40           3
    28       41           2
    29       16           0
    29       17           2
    29       18           2
    29       28           1
    29       29           0
    29       30           0
    29       40           3
    29       41           0
    29       42           1
    30       17           3
    30       18           4
    30       19           0
    30       29           4
    30       30           1
    30       31           2
    30       41           2
    30       42           2
    30       43           0
    31       18           1
    31       19           0
    31       20           4
    31       30           4
    31       31           4
    31       32           4
    31       42           0
    31       43           1
    31       44           4
    32       19           4
    32       20           0
    32       21           1
    32       31           1
    32       32           4
