Chessboard matrixes  Code   834
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           3
     1        2           2
     1       12           1
     1       13           3
     1       14           3
     1       24           1
     1      133           2
     1      134           3
     1      144           3
     2        1           2
     2        2           0
     2        3           2
     2       13           3
     2       14           0
     2       15           0
     2      133           0
     2      134           0
     2      135           3
     3        2           4
     3        3           3
     3        4           2
     3       14           1
     3       15           1
     3       16           3
     3      134           4
     3      135           2
     3      136           2
     4        3           1
     4        4           4
     4        5           3
     4       15           3
     4       16           0
     4       17           0
     4      135           4
     4      136           2
     4      137           2
     5        4           1
     5        5           4
     5        6           0
     5       16           1
     5       17           4
     5       18           1
     5      136           0
     5      137           1
     5      138           4
     6        5           1
     6        6           4
     6        7           4
     6       17           0
     6       18           1
     6       19           2
     6      137           1
     6      138           1
     6      139           2
     7        6           0
     7        7           3
     7        8           1
     7       18           3
     7       19           0
     7       20           0
     7      138           2
     7      139           2
     7      140           1
     8        7           4
     8        8           3
     8        9           0
     8       19           3
     8       20           1
     8       21           0
     8      139           4
     8      140           2
     8      141           0
     9        8           1
     9        9           0
     9       10           4
     9       20           2
     9       21           4
     9       22           4
     9      140           2
     9      141           2
     9      142           4
    10        9           4
    10       10           3
    10       11           3
    10       21           1
    10       22           3
    10       23           0
    10      141           2
    10      142           3
    10      143           4
    11       10           3
    11       11           0
    11       12           0
    11       22           2
    11       23           1
    11       24           0
    11      142           4
    11      143           1
    11      144           3
    12        1           1
    12       11           2
    12       12           1
    12       13           3
    12       23           2
    12       24           4
    12      133           1
    12      143           2
    12      144           0
    13        1           3
    13        2           0
    13       12           3
    13       13           2
    13       14           4
    13       24           1
    13       25           0
    13       26           4
    13       36           1
    14        1           3
    14        2           3
    14        3           2
    14       13           2
    14       14           3
    14       15           2
    14       25           4
    14       26           3
    14       27           1
    15        2           2
    15        3           3
    15        4           0
    15       14           4
    15       15           2
    15       16           3
    15       26           2
    15       27           2
    15       28           2
    16        3           3
    16        4           2
    16        5           0
    16       15           2
    16       16           3
    16       17           0
    16       27           4
    16       28           1
    16       29           4
    17        4           2
    17        5           1
    17        6           4
    17       16           3
    17       17           3
    17       18           4
    17       28           0
    17       29           4
    17       30           1
    18        5           4
    18        6           2
    18        7           3
    18       17           2
    18       18           3
    18       19           1
    18       29           0
    18       30           1
    18       31           0
    19        6           2
    19        7           3
    19        8           0
    19       18           2
    19       19           3
    19       20           1
    19       30           4
    19       31           4
    19       32           3
    20        7           2
    20        8           0
    20        9           1
    20       19           2
    20       20           3
    20       21           3
    20       31           4
    20       32           0
    20       33           0
    21        8           2
    21        9           1
    21       10           2
    21       20           1
    21       21           2
    21       22           4
    21       32           4
    21       33           3
    21       34           4
    22        9           3
    22       10           1
    22       11           2
    22       21           4
    22       22           1
    22       23           2
    22       33           4
    22       34           1
    22       35           3
    23       10           4
    23       11           1
    23       12           0
    23       22           2
    23       23           1
    23       24           3
    23       34           2
    23       35           4
    23       36           1
    24        1           4
    24       11           1
    24       12           0
    24       13           0
    24       23           2
    24       24           3
    24       25           4
    24       35           0
    24       36           1
    25       13           1
    25       14           3
    25       24           1
    25       25           0
    25       26           2
    25       36           0
    25       37           3
    25       38           1
    25       48           2
    26       13           4
    26       14           4
    26       15           2
    26       25           1
    26       26           3
    26       27           2
    26       37           1
    26       38           1
    26       39           4
    27       14           2
    27       15           0
    27       16           0
    27       26           2
    27       27           3
    27       28           4
    27       38           3
    27       39           1
    27       40           0
    28       15           4
    28       16           0
    28       17           1
    28       27           0
    28       28           3
    28       29           1
    28       39           3
    28       40           3
    28       41           3
    29       16           3
    29       17           1
    29       18           2
    29       28           2
    29       29           4
    29       30           2
    29       40           0
    29       41           1
    29       42           4
    30       17           1
    30       18           3
    30       19           2
    30       29           0
    30       30           3
    30       31           1
    30       41           0
    30       42           3
    30       43           3
    31       18           1
    31       19           1
    31       20           0
    31       30           4
    31       31           2
    31       32           1
    31       42           4
    31       43           0
    31       44           4
    32       19           1
    32       20           0
    32       21           3
    32       31           3
    32       32           2
