Chessboard matrixes  Code  2534
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           4
     1        2           1
     1       12           4
     1       13           3
     1       14           3
     1       24           4
     1      133           1
     1      134           2
     1      144           1
     2        1           0
     2        2           2
     2        3           3
     2       13           4
     2       14           2
     2       15           2
     2      133           2
     2      134           0
     2      135           4
     3        2           0
     3        3           3
     3        4           4
     3       14           1
     3       15           1
     3       16           1
     3      134           4
     3      135           3
     3      136           1
     4        3           1
     4        4           4
     4        5           3
     4       15           1
     4       16           3
     4       17           3
     4      135           0
     4      136           3
     4      137           2
     5        4           2
     5        5           0
     5        6           4
     5       16           3
     5       17           3
     5       18           2
     5      136           1
     5      137           2
     5      138           0
     6        5           0
     6        6           0
     6        7           2
     6       17           2
     6       18           2
     6       19           0
     6      137           1
     6      138           0
     6      139           0
     7        6           0
     7        7           0
     7        8           4
     7       18           0
     7       19           2
     7       20           4
     7      138           0
     7      139           3
     7      140           2
     8        7           1
     8        8           3
     8        9           0
     8       19           0
     8       20           2
     8       21           3
     8      139           4
     8      140           0
     8      141           2
     9        8           1
     9        9           2
     9       10           2
     9       20           2
     9       21           2
     9       22           0
     9      140           2
     9      141           4
     9      142           2
    10        9           1
    10       10           3
    10       11           4
    10       21           4
    10       22           2
    10       23           0
    10      141           3
    10      142           0
    10      143           4
    11       10           4
    11       11           2
    11       12           3
    11       22           4
    11       23           4
    11       24           3
    11      142           0
    11      143           2
    11      144           4
    12        1           1
    12       11           3
    12       12           0
    12       13           4
    12       23           1
    12       24           4
    12      133           0
    12      143           4
    12      144           1
    13        1           0
    13        2           2
    13       12           3
    13       13           0
    13       14           0
    13       24           3
    13       25           4
    13       26           3
    13       36           2
    14        1           0
    14        2           4
    14        3           2
    14       13           3
    14       14           3
    14       15           3
    14       25           3
    14       26           0
    14       27           0
    15        2           4
    15        3           1
    15        4           0
    15       14           2
    15       15           0
    15       16           0
    15       26           2
    15       27           1
    15       28           0
    16        3           3
    16        4           3
    16        5           3
    16       15           0
    16       16           3
    16       17           0
    16       27           0
    16       28           4
    16       29           1
    17        4           4
    17        5           2
    17        6           0
    17       16           4
    17       17           4
    17       18           2
    17       28           4
    17       29           2
    17       30           1
    18        5           0
    18        6           3
    18        7           3
    18       17           0
    18       18           1
    18       19           0
    18       29           3
    18       30           2
    18       31           3
    19        6           1
    19        7           0
    19        8           0
    19       18           2
    19       19           0
    19       20           0
    19       30           2
    19       31           4
    19       32           2
    20        7           4
    20        8           1
    20        9           2
    20       19           2
    20       20           1
    20       21           2
    20       31           0
    20       32           0
    20       33           1
    21        8           3
    21        9           2
    21       10           3
    21       20           3
    21       21           0
    21       22           0
    21       32           4
    21       33           4
    21       34           4
    22        9           4
    22       10           4
    22       11           2
    22       21           0
    22       22           3
    22       23           2
    22       33           3
    22       34           0
    22       35           0
    23       10           2
    23       11           3
    23       12           0
    23       22           3
    23       23           2
    23       24           2
    23       34           2
    23       35           3
    23       36           1
    24        1           0
    24       11           3
    24       12           4
    24       13           4
    24       23           3
    24       24           0
    24       25           4
    24       35           0
    24       36           1
    25       13           4
    25       14           1
    25       24           4
    25       25           0
    25       26           4
    25       36           3
    25       37           3
    25       38           0
    25       48           0
    26       13           3
    26       14           2
    26       15           1
    26       25           2
    26       26           0
    26       27           0
    26       37           2
    26       38           1
    26       39           1
    27       14           4
    27       15           0
    27       16           0
    27       26           1
    27       27           2
    27       28           2
    27       38           0
    27       39           0
    27       40           3
    28       15           2
    28       16           1
    28       17           2
    28       27           2
    28       28           4
    28       29           2
    28       39           4
    28       40           1
    28       41           0
    29       16           0
    29       17           3
    29       18           2
    29       28           1
    29       29           1
    29       30           0
    29       40           1
    29       41           3
    29       42           3
    30       17           0
    30       18           1
    30       19           2
    30       29           4
    30       30           0
    30       31           3
    30       41           4
    30       42           3
    30       43           2
    31       18           3
    31       19           1
    31       20           1
    31       30           2
    31       31           1
    31       32           0
    31       42           4
    31       43           0
    31       44           4
    32       19           1
    32       20           1
    32       21           0
    32       31           0
    32       32           3
