Chessboard matrixes  Code  2334
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           2
     1        2           0
     1       12           0
     1       13           3
     1       14           4
     1       24           1
     1      133           0
     1      134           0
     1      144           3
     2        1           4
     2        2           2
     2        3           4
     2       13           0
     2       14           2
     2       15           3
     2      133           3
     2      134           3
     2      135           2
     3        2           2
     3        3           1
     3        4           4
     3       14           1
     3       15           3
     3       16           4
     3      134           0
     3      135           0
     3      136           3
     4        3           2
     4        4           1
     4        5           0
     4       15           2
     4       16           3
     4       17           2
     4      135           3
     4      136           3
     4      137           4
     5        4           0
     5        5           3
     5        6           0
     5       16           4
     5       17           4
     5       18           3
     5      136           0
     5      137           0
     5      138           4
     6        5           1
     6        6           0
     6        7           1
     6       17           3
     6       18           3
     6       19           4
     6      137           4
     6      138           2
     6      139           1
     7        6           2
     7        7           0
     7        8           2
     7       18           2
     7       19           4
     7       20           3
     7      138           4
     7      139           0
     7      140           0
     8        7           2
     8        8           1
     8        9           0
     8       19           4
     8       20           3
     8       21           1
     8      139           0
     8      140           4
     8      141           1
     9        8           2
     9        9           2
     9       10           2
     9       20           2
     9       21           2
     9       22           4
     9      140           4
     9      141           1
     9      142           1
    10        9           0
    10       10           2
    10       11           4
    10       21           2
    10       22           3
    10       23           4
    10      141           4
    10      142           0
    10      143           3
    11       10           0
    11       11           3
    11       12           3
    11       22           3
    11       23           3
    11       24           1
    11      142           2
    11      143           4
    11      144           0
    12        1           4
    12       11           0
    12       12           2
    12       13           0
    12       23           2
    12       24           4
    12      133           1
    12      143           0
    12      144           4
    13        1           2
    13        2           0
    13       12           3
    13       13           3
    13       14           1
    13       24           4
    13       25           1
    13       26           3
    13       36           3
    14        1           0
    14        2           4
    14        3           4
    14       13           0
    14       14           1
    14       15           2
    14       25           4
    14       26           4
    14       27           4
    15        2           4
    15        3           1
    15        4           2
    15       14           3
    15       15           1
    15       16           2
    15       26           4
    15       27           4
    15       28           2
    16        3           3
    16        4           1
    16        5           4
    16       15           2
    16       16           3
    16       17           1
    16       27           4
    16       28           3
    16       29           1
    17        4           3
    17        5           3
    17        6           1
    17       16           0
    17       17           1
    17       18           1
    17       28           2
    17       29           0
    17       30           0
    18        5           0
    18        6           2
    18        7           2
    18       17           2
    18       18           3
    18       19           0
    18       29           2
    18       30           2
    18       31           4
    19        6           1
    19        7           3
    19        8           3
    19       18           0
    19       19           2
    19       20           3
    19       30           4
    19       31           4
    19       32           4
    20        7           0
    20        8           0
    20        9           0
    20       19           0
    20       20           4
    20       21           1
    20       31           4
    20       32           2
    20       33           1
    21        8           1
    21        9           0
    21       10           3
    21       20           2
    21       21           2
    21       22           0
    21       32           0
    21       33           0
    21       34           0
    22        9           4
    22       10           2
    22       11           4
    22       21           0
    22       22           0
    22       23           3
    22       33           3
    22       34           1
    22       35           1
    23       10           2
    23       11           4
    23       12           3
    23       22           3
    23       23           4
    23       24           1
    23       34           1
    23       35           3
    23       36           2
    24        1           0
    24       11           4
    24       12           0
    24       13           4
    24       23           3
    24       24           0
    24       25           1
    24       35           4
    24       36           2
    25       13           2
    25       14           2
    25       24           0
    25       25           2
    25       26           4
    25       36           3
    25       37           2
    25       38           1
    25       48           0
    26       13           2
    26       14           0
    26       15           4
    26       25           1
    26       26           2
    26       27           0
    26       37           3
    26       38           4
    26       39           1
    27       14           1
    27       15           0
    27       16           2
    27       26           2
    27       27           3
    27       28           1
    27       38           0
    27       39           3
    27       40           3
    28       15           4
    28       16           1
    28       17           2
    28       27           1
    28       28           4
    28       29           1
    28       39           3
    28       40           0
    28       41           3
    29       16           1
    29       17           3
    29       18           0
    29       28           1
    29       29           0
    29       30           4
    29       40           4
    29       41           0
    29       42           3
    30       17           3
    30       18           2
    30       19           3
    30       29           1
    30       30           0
    30       31           3
    30       41           3
    30       42           0
    30       43           4
    31       18           1
    31       19           0
    31       20           3
    31       30           4
    31       31           2
    31       32           2
    31       42           3
    31       43           3
    31       44           4
    32       19           2
    32       20           2
    32       21           2
    32       31           4
    32       32           1
