Chessboard matrixes  Code   534
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           0
     1        2           0
     1       12           3
     1       13           1
     1       14           0
     1       24           0
     1      133           0
     1      134           2
     1      144           4
     2        1           4
     2        2           4
     2        3           2
     2       13           3
     2       14           2
     2       15           4
     2      133           3
     2      134           2
     2      135           4
     3        2           1
     3        3           0
     3        4           2
     3       14           2
     3       15           4
     3       16           2
     3      134           2
     3      135           0
     3      136           3
     4        3           0
     4        4           2
     4        5           1
     4       15           3
     4       16           3
     4       17           4
     4      135           1
     4      136           4
     4      137           0
     5        4           1
     5        5           4
     5        6           4
     5       16           1
     5       17           0
     5       18           2
     5      136           0
     5      137           3
     5      138           3
     6        5           0
     6        6           2
     6        7           3
     6       17           4
     6       18           1
     6       19           2
     6      137           2
     6      138           1
     6      139           0
     7        6           1
     7        7           0
     7        8           2
     7       18           0
     7       19           3
     7       20           1
     7      138           4
     7      139           1
     7      140           3
     8        7           0
     8        8           3
     8        9           0
     8       19           0
     8       20           0
     8       21           4
     8      139           4
     8      140           4
     8      141           2
     9        8           4
     9        9           3
     9       10           2
     9       20           4
     9       21           0
     9       22           4
     9      140           3
     9      141           0
     9      142           2
    10        9           3
    10       10           4
    10       11           1
    10       21           2
    10       22           4
    10       23           0
    10      141           3
    10      142           3
    10      143           1
    11       10           3
    11       11           1
    11       12           0
    11       22           1
    11       23           4
    11       24           1
    11      142           4
    11      143           0
    11      144           0
    12        1           1
    12       11           0
    12       12           1
    12       13           4
    12       23           1
    12       24           4
    12      133           4
    12      143           3
    12      144           2
    13        1           1
    13        2           4
    13       12           1
    13       13           1
    13       14           3
    13       24           0
    13       25           1
    13       26           2
    13       36           0
    14        1           3
    14        2           2
    14        3           2
    14       13           1
    14       14           1
    14       15           2
    14       25           2
    14       26           4
    14       27           2
    15        2           4
    15        3           0
    15        4           4
    15       14           4
    15       15           3
    15       16           4
    15       26           2
    15       27           3
    15       28           2
    16        3           2
    16        4           4
    16        5           4
    16       15           3
    16       16           1
    16       17           1
    16       27           1
    16       28           0
    16       29           4
    17        4           4
    17        5           0
    17        6           0
    17       16           4
    17       17           1
    17       18           0
    17       28           4
    17       29           3
    17       30           2
    18        5           2
    18        6           2
    18        7           4
    18       17           3
    18       18           1
    18       19           1
    18       29           2
    18       30           2
    18       31           0
    19        6           2
    19        7           0
    19        8           4
    19       18           4
    19       19           2
    19       20           4
    19       30           3
    19       31           4
    19       32           4
    20        7           4
    20        8           1
    20        9           3
    20       19           3
    20       20           0
    20       21           2
    20       31           3
    20       32           2
    20       33           0
    21        8           2
    21        9           0
    21       10           0
    21       20           4
    21       21           4
    21       22           4
    21       32           1
    21       33           0
    21       34           4
    22        9           4
    22       10           1
    22       11           4
    22       21           3
    22       22           0
    22       23           4
    22       33           1
    22       34           2
    22       35           3
    23       10           2
    23       11           3
    23       12           0
    23       22           4
    23       23           2
    23       24           2
    23       34           3
    23       35           4
    23       36           0
    24        1           3
    24       11           3
    24       12           4
    24       13           3
    24       23           3
    24       24           0
    24       25           1
    24       35           4
    24       36           2
    25       13           2
    25       14           4
    25       24           0
    25       25           1
    25       26           2
    25       36           4
    25       37           0
    25       38           0
    25       48           3
    26       13           1
    26       14           4
    26       15           2
    26       25           0
    26       26           4
    26       27           3
    26       37           3
    26       38           4
    26       39           4
    27       14           3
    27       15           0
    27       16           4
    27       26           1
    27       27           2
    27       28           0
    27       38           3
    27       39           0
    27       40           2
    28       15           4
    28       16           4
    28       17           3
    28       27           1
    28       28           0
    28       29           3
    28       39           4
    28       40           0
    28       41           3
    29       16           0
    29       17           1
    29       18           0
    29       28           2
    29       29           2
    29       30           0
    29       40           4
    29       41           0
    29       42           2
    30       17           0
    30       18           4
    30       19           1
    30       29           2
    30       30           2
    30       31           2
    30       41           4
    30       42           3
    30       43           4
    31       18           2
    31       19           0
    31       20           4
    31       30           3
    31       31           3
    31       32           4
    31       42           1
    31       43           4
    31       44           1
    32       19           2
    32       20           0
    32       21           2
    32       31           3
    32       32           2
