Chessboard matrixes  Code  1534
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           0
     1        2           1
     1       12           3
     1       13           4
     1       14           4
     1       24           2
     1      133           0
     1      134           2
     1      144           2
     2        1           2
     2        2           1
     2        3           0
     2       13           1
     2       14           0
     2       15           3
     2      133           0
     2      134           1
     2      135           1
     3        2           3
     3        3           4
     3        4           3
     3       14           4
     3       15           0
     3       16           4
     3      134           1
     3      135           4
     3      136           2
     4        3           3
     4        4           3
     4        5           0
     4       15           4
     4       16           0
     4       17           3
     4      135           0
     4      136           1
     4      137           1
     5        4           4
     5        5           2
     5        6           4
     5       16           4
     5       17           2
     5       18           0
     5      136           0
     5      137           0
     5      138           2
     6        5           0
     6        6           1
     6        7           2
     6       17           0
     6       18           4
     6       19           3
     6      137           4
     6      138           3
     6      139           3
     7        6           0
     7        7           2
     7        8           3
     7       18           3
     7       19           3
     7       20           0
     7      138           2
     7      139           0
     7      140           2
     8        7           1
     8        8           0
     8        9           0
     8       19           3
     8       20           1
     8       21           1
     8      139           1
     8      140           4
     8      141           0
     9        8           0
     9        9           3
     9       10           2
     9       20           0
     9       21           1
     9       22           0
     9      140           3
     9      141           2
     9      142           0
    10        9           2
    10       10           3
    10       11           0
    10       21           3
    10       22           1
    10       23           3
    10      141           3
    10      142           4
    10      143           0
    11       10           1
    11       11           2
    11       12           4
    11       22           0
    11       23           4
    11       24           2
    11      142           0
    11      143           3
    11      144           2
    12        1           1
    12       11           2
    12       12           1
    12       13           4
    12       23           3
    12       24           4
    12      133           2
    12      143           4
    12      144           2
    13        1           1
    13        2           1
    13       12           2
    13       13           3
    13       14           4
    13       24           4
    13       25           2
    13       26           0
    13       36           4
    14        1           4
    14        2           3
    14        3           4
    14       13           4
    14       14           4
    14       15           2
    14       25           0
    14       26           4
    14       27           1
    15        2           4
    15        3           1
    15        4           2
    15       14           3
    15       15           4
    15       16           4
    15       26           2
    15       27           0
    15       28           3
    16        3           3
    16        4           4
    16        5           4
    16       15           2
    16       16           0
    16       17           1
    16       27           0
    16       28           0
    16       29           0
    17        4           1
    17        5           1
    17        6           0
    17       16           2
    17       17           0
    17       18           4
    17       28           2
    17       29           0
    17       30           2
    18        5           1
    18        6           2
    18        7           3
    18       17           1
    18       18           1
    18       19           3
    18       29           0
    18       30           4
    18       31           1
    19        6           1
    19        7           0
    19        8           0
    19       18           3
    19       19           1
    19       20           2
    19       30           0
    19       31           1
    19       32           3
    20        7           1
    20        8           1
    20        9           0
    20       19           0
    20       20           0
    20       21           2
    20       31           2
    20       32           4
    20       33           1
    21        8           0
    21        9           1
    21       10           4
    21       20           1
    21       21           2
    21       22           0
    21       32           0
    21       33           4
    21       34           2
    22        9           1
    22       10           0
    22       11           1
    22       21           2
    22       22           4
    22       23           3
    22       33           2
    22       34           4
    22       35           1
    23       10           2
    23       11           3
    23       12           3
    23       22           4
    23       23           2
    23       24           0
    23       34           2
    23       35           3
    23       36           1
    24        1           2
    24       11           3
    24       12           4
    24       13           1
    24       23           0
    24       24           0
    24       25           3
    24       35           2
    24       36           2
    25       13           3
    25       14           0
    25       24           4
    25       25           3
    25       26           1
    25       36           1
    25       37           4
    25       38           0
    25       48           2
    26       13           4
    26       14           3
    26       15           1
    26       25           4
    26       26           4
    26       27           1
    26       37           2
    26       38           2
    26       39           3
    27       14           3
    27       15           2
    27       16           2
    27       26           1
    27       27           2
    27       28           1
    27       38           4
    27       39           3
    27       40           2
    28       15           3
    28       16           0
    28       17           0
    28       27           1
    28       28           2
    28       29           0
    28       39           4
    28       40           3
    28       41           4
    29       16           2
    29       17           0
    29       18           3
    29       28           2
    29       29           4
    29       30           2
    29       40           0
    29       41           4
    29       42           0
    30       17           3
    30       18           0
    30       19           1
    30       29           3
    30       30           4
    30       31           0
    30       41           4
    30       42           3
    30       43           3
    31       18           0
    31       19           0
    31       20           2
    31       30           0
    31       31           4
    31       32           4
    31       42           0
    31       43           4
    31       44           0
    32       19           4
    32       20           3
    32       21           3
    32       31           2
    32       32           2
