Chessboard matrixes  Code   934
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           4
     1        2           2
     1       12           1
     1       13           0
     1       14           0
     1       24           0
     1      133           2
     1      134           1
     1      144           4
     2        1           0
     2        2           0
     2        3           4
     2       13           0
     2       14           3
     2       15           2
     2      133           2
     2      134           1
     2      135           2
     3        2           3
     3        3           4
     3        4           2
     3       14           1
     3       15           0
     3       16           1
     3      134           1
     3      135           1
     3      136           4
     4        3           2
     4        4           3
     4        5           2
     4       15           4
     4       16           2
     4       17           0
     4      135           0
     4      136           0
     4      137           2
     5        4           4
     5        5           2
     5        6           2
     5       16           3
     5       17           4
     5       18           1
     5      136           0
     5      137           3
     5      138           4
     6        5           3
     6        6           2
     6        7           0
     6       17           3
     6       18           1
     6       19           2
     6      137           2
     6      138           3
     6      139           4
     7        6           1
     7        7           1
     7        8           2
     7       18           2
     7       19           4
     7       20           3
     7      138           0
     7      139           4
     7      140           2
     8        7           3
     8        8           1
     8        9           0
     8       19           3
     8       20           4
     8       21           4
     8      139           1
     8      140           4
     8      141           0
     9        8           3
     9        9           3
     9       10           2
     9       20           0
     9       21           3
     9       22           2
     9      140           1
     9      141           2
     9      142           0
    10        9           4
    10       10           1
    10       11           0
    10       21           2
    10       22           3
    10       23           3
    10      141           1
    10      142           3
    10      143           0
    11       10           0
    11       11           4
    11       12           0
    11       22           3
    11       23           1
    11       24           1
    11      142           1
    11      143           0
    11      144           2
    12        1           0
    12       11           2
    12       12           2
    12       13           2
    12       23           0
    12       24           4
    12      133           3
    12      143           1
    12      144           1
    13        1           2
    13        2           3
    13       12           0
    13       13           1
    13       14           1
    13       24           2
    13       25           1
    13       26           1
    13       36           3
    14        1           4
    14        2           3
    14        3           4
    14       13           1
    14       14           4
    14       15           2
    14       25           1
    14       26           1
    14       27           4
    15        2           4
    15        3           0
    15        4           4
    15       14           4
    15       15           2
    15       16           0
    15       26           3
    15       27           3
    15       28           3
    16        3           3
    16        4           3
    16        5           2
    16       15           1
    16       16           0
    16       17           4
    16       27           2
    16       28           2
    16       29           4
    17        4           0
    17        5           4
    17        6           3
    17       16           3
    17       17           2
    17       18           2
    17       28           4
    17       29           2
    17       30           4
    18        5           1
    18        6           2
    18        7           0
    18       17           4
    18       18           2
    18       19           2
    18       29           0
    18       30           1
    18       31           1
    19        6           2
    19        7           4
    19        8           4
    19       18           3
    19       19           2
    19       20           0
    19       30           3
    19       31           0
    19       32           4
    20        7           1
    20        8           3
    20        9           3
    20       19           3
    20       20           4
    20       21           4
    20       31           0
    20       32           4
    20       33           0
    21        8           0
    21        9           0
    21       10           0
    21       20           2
    21       21           2
    21       22           4
    21       32           4
    21       33           3
    21       34           3
    22        9           3
    22       10           0
    22       11           1
    22       21           4
    22       22           0
    22       23           1
    22       33           2
    22       34           1
    22       35           0
    23       10           2
    23       11           1
    23       12           3
    23       22           4
    23       23           3
    23       24           3
    23       34           0
    23       35           4
    23       36           4
    24        1           4
    24       11           1
    24       12           2
    24       13           2
    24       23           2
    24       24           0
    24       25           3
    24       35           0
    24       36           0
    25       13           2
    25       14           2
    25       24           3
    25       25           1
    25       26           2
    25       36           2
    25       37           1
    25       38           3
    25       48           0
    26       13           2
    26       14           3
    26       15           1
    26       25           2
    26       26           0
    26       27           2
    26       37           1
    26       38           2
    26       39           3
    27       14           4
    27       15           1
    27       16           4
    27       26           4
    27       27           0
    27       28           3
    27       38           3
    27       39           0
    27       40           2
    28       15           0
    28       16           0
    28       17           4
    28       27           3
    28       28           1
    28       29           4
    28       39           1
    28       40           1
    28       41           2
    29       16           2
    29       17           1
    29       18           3
    29       28           2
    29       29           0
    29       30           3
    29       40           4
    29       41           3
    29       42           1
    30       17           0
    30       18           2
    30       19           4
    30       29           4
    30       30           3
    30       31           1
    30       41           1
    30       42           4
    30       43           4
    31       18           2
    31       19           2
    31       20           4
    31       30           3
    31       31           2
    31       32           0
    31       42           0
    31       43           3
    31       44           1
    32       19           1
    32       20           0
    32       21           2
    32       31           2
    32       32           1
