Chessboard matrixes  Code   634
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           1
     1        2           1
     1       12           2
     1       13           3
     1       14           3
     1       24           4
     1      133           1
     1      134           1
     1      144           0
     2        1           1
     2        2           4
     2        3           4
     2       13           0
     2       14           0
     2       15           1
     2      133           0
     2      134           3
     2      135           2
     3        2           1
     3        3           1
     3        4           2
     3       14           2
     3       15           3
     3       16           0
     3      134           4
     3      135           4
     3      136           0
     4        3           2
     4        4           1
     4        5           0
     4       15           4
     4       16           0
     4       17           4
     4      135           2
     4      136           2
     4      137           4
     5        4           0
     5        5           2
     5        6           1
     5       16           2
     5       17           0
     5       18           2
     5      136           0
     5      137           4
     5      138           3
     6        5           2
     6        6           0
     6        7           3
     6       17           1
     6       18           1
     6       19           2
     6      137           3
     6      138           3
     6      139           3
     7        6           2
     7        7           2
     7        8           3
     7       18           0
     7       19           2
     7       20           4
     7      138           2
     7      139           3
     7      140           4
     8        7           0
     8        8           1
     8        9           0
     8       19           1
     8       20           2
     8       21           3
     8      139           1
     8      140           2
     8      141           3
     9        8           1
     9        9           0
     9       10           4
     9       20           2
     9       21           0
     9       22           2
     9      140           3
     9      141           4
     9      142           3
    10        9           3
    10       10           2
    10       11           3
    10       21           4
    10       22           4
    10       23           4
    10      141           3
    10      142           3
    10      143           2
    11       10           4
    11       11           0
    11       12           0
    11       22           2
    11       23           0
    11       24           2
    11      142           1
    11      143           3
    11      144           0
    12        1           4
    12       11           4
    12       12           3
    12       13           4
    12       23           3
    12       24           4
    12      133           1
    12      143           3
    12      144           3
    13        1           0
    13        2           2
    13       12           4
    13       13           0
    13       14           0
    13       24           2
    13       25           2
    13       26           4
    13       36           2
    14        1           3
    14        2           2
    14        3           4
    14       13           0
    14       14           2
    14       15           2
    14       25           4
    14       26           2
    14       27           0
    15        2           2
    15        3           3
    15        4           3
    15       14           4
    15       15           3
    15       16           0
    15       26           4
    15       27           4
    15       28           3
    16        3           2
    16        4           0
    16        5           1
    16       15           3
    16       16           3
    16       17           1
    16       27           3
    16       28           0
    16       29           4
    17        4           2
    17        5           2
    17        6           0
    17       16           4
    17       17           0
    17       18           3
    17       28           3
    17       29           1
    17       30           0
    18        5           4
    18        6           2
    18        7           2
    18       17           0
    18       18           0
    18       19           1
    18       29           3
    18       30           1
    18       31           2
    19        6           2
    19        7           1
    19        8           3
    19       18           0
    19       19           1
    19       20           3
    19       30           2
    19       31           4
    19       32           0
    20        7           3
    20        8           4
    20        9           4
    20       19           4
    20       20           1
    20       21           2
    20       31           4
    20       32           2
    20       33           0
    21        8           0
    21        9           4
    21       10           2
    21       20           4
    21       21           4
    21       22           4
    21       32           1
    21       33           4
    21       34           4
    22        9           4
    22       10           0
    22       11           3
    22       21           3
    22       22           4
    22       23           3
    22       33           4
    22       34           2
    22       35           0
    23       10           4
    23       11           2
    23       12           4
    23       22           2
    23       23           3
    23       24           3
    23       34           1
    23       35           4
    23       36           2
    24        1           3
    24       11           2
    24       12           1
    24       13           1
    24       23           3
    24       24           3
    24       25           0
    24       35           4
    24       36           2
    25       13           3
    25       14           4
    25       24           2
    25       25           2
    25       26           2
    25       36           1
    25       37           3
    25       38           2
    25       48           1
    26       13           4
    26       14           3
    26       15           0
    26       25           1
    26       26           0
    26       27           3
    26       37           3
    26       38           0
    26       39           4
    27       14           4
    27       15           0
    27       16           2
    27       26           3
    27       27           4
    27       28           3
    27       38           3
    27       39           3
    27       40           0
    28       15           1
    28       16           0
    28       17           1
    28       27           4
    28       28           2
    28       29           0
    28       39           2
    28       40           2
    28       41           1
    29       16           4
    29       17           1
    29       18           0
    29       28           2
    29       29           3
    29       30           0
    29       40           3
    29       41           2
    29       42           4
    30       17           4
    30       18           3
    30       19           3
    30       29           1
    30       30           3
    30       31           1
    30       41           4
    30       42           0
    30       43           0
    31       18           3
    31       19           0
    31       20           3
    31       30           2
    31       31           3
    31       32           3
    31       42           2
    31       43           2
    31       44           4
    32       19           2
    32       20           0
    32       21           1
    32       31           1
    32       32           0
