Chessboard matrixes  Code   434
Dimension, Median
   144       16
 Facility, Client, Transportation Cost
     1        1           4
     1        2           0
     1       12           3
     1       13           3
     1       14           3
     1       24           2
     1      133           0
     1      134           4
     1      144           2
     2        1           1
     2        2           4
     2        3           0
     2       13           1
     2       14           4
     2       15           2
     2      133           1
     2      134           1
     2      135           0
     3        2           2
     3        3           4
     3        4           2
     3       14           2
     3       15           0
     3       16           3
     3      134           0
     3      135           1
     3      136           2
     4        3           4
     4        4           3
     4        5           2
     4       15           1
     4       16           1
     4       17           3
     4      135           0
     4      136           2
     4      137           1
     5        4           3
     5        5           1
     5        6           2
     5       16           4
     5       17           1
     5       18           2
     5      136           0
     5      137           2
     5      138           3
     6        5           3
     6        6           0
     6        7           3
     6       17           2
     6       18           2
     6       19           2
     6      137           1
     6      138           4
     6      139           3
     7        6           4
     7        7           2
     7        8           1
     7       18           1
     7       19           4
     7       20           3
     7      138           1
     7      139           0
     7      140           2
     8        7           1
     8        8           0
     8        9           0
     8       19           0
     8       20           3
     8       21           1
     8      139           2
     8      140           1
     8      141           2
     9        8           2
     9        9           1
     9       10           4
     9       20           1
     9       21           1
     9       22           1
     9      140           4
     9      141           0
     9      142           1
    10        9           2
    10       10           1
    10       11           3
    10       21           1
    10       22           0
    10       23           2
    10      141           4
    10      142           3
    10      143           1
    11       10           1
    11       11           1
    11       12           0
    11       22           1
    11       23           4
    11       24           0
    11      142           3
    11      143           1
    11      144           1
    12        1           2
    12       11           1
    12       12           0
    12       13           0
    12       23           3
    12       24           4
    12      133           2
    12      143           4
    12      144           1
    13        1           2
    13        2           0
    13       12           4
    13       13           3
    13       14           1
    13       24           3
    13       25           0
    13       26           0
    13       36           3
    14        1           3
    14        2           2
    14        3           0
    14       13           2
    14       14           0
    14       15           1
    14       25           4
    14       26           0
    14       27           4
    15        2           2
    15        3           3
    15        4           0
    15       14           0
    15       15           4
    15       16           2
    15       26           1
    15       27           2
    15       28           0
    16        3           2
    16        4           3
    16        5           2
    16       15           4
    16       16           4
    16       17           2
    16       27           3
    16       28           0
    16       29           4
    17        4           1
    17        5           3
    17        6           1
    17       16           4
    17       17           3
    17       18           2
    17       28           0
    17       29           4
    17       30           4
    18        5           4
    18        6           2
    18        7           1
    18       17           2
    18       18           2
    18       19           0
    18       29           1
    18       30           2
    18       31           3
    19        6           2
    19        7           4
    19        8           1
    19       18           3
    19       19           3
    19       20           1
    19       30           4
    19       31           3
    19       32           2
    20        7           0
    20        8           3
    20        9           2
    20       19           2
    20       20           4
    20       21           1
    20       31           3
    20       32           3
    20       33           4
    21        8           3
    21        9           2
    21       10           3
    21       20           3
    21       21           0
    21       22           4
    21       32           2
    21       33           0
    21       34           0
    22        9           4
    22       10           3
    22       11           0
    22       21           3
    22       22           1
    22       23           4
    22       33           4
    22       34           3
    22       35           1
    23       10           4
    23       11           3
    23       12           2
    23       22           2
    23       23           0
    23       24           2
    23       34           0
    23       35           4
    23       36           3
    24        1           3
    24       11           3
    24       12           2
    24       13           1
    24       23           4
    24       24           3
    24       25           2
    24       35           4
    24       36           3
    25       13           1
    25       14           4
    25       24           3
    25       25           0
    25       26           3
    25       36           1
    25       37           2
    25       38           3
    25       48           0
    26       13           3
    26       14           1
    26       15           4
    26       25           0
    26       26           2
    26       27           3
    26       37           4
    26       38           3
    26       39           4
    27       14           1
    27       15           4
    27       16           0
    27       26           4
    27       27           0
    27       28           2
    27       38           3
    27       39           1
    27       40           0
    28       15           3
    28       16           4
    28       17           0
    28       27           3
    28       28           2
    28       29           0
    28       39           1
    28       40           2
    28       41           4
    29       16           1
    29       17           1
    29       18           4
    29       28           2
    29       29           2
    29       30           4
    29       40           1
    29       41           3
    29       42           0
    30       17           1
    30       18           4
    30       19           3
    30       29           3
    30       30           2
    30       31           2
    30       41           3
    30       42           2
    30       43           2
    31       18           1
    31       19           4
    31       20           0
    31       30           4
    31       31           3
    31       32           4
    31       42           0
    31       43           0
    31       44           4
    32       19           2
    32       20           1
    32       21           4
    32       31           0
    32       32           3
